timestamp,Shipping 200,labels,Catalogue 200,Cart 200,Orders 200,Payment 200,User 200,Frontend 405,Frontend 200,Catalogue Latency,Shipping Latency,Cart Latency,Orders Latency,Payment Latency,User Latency,Frontend Latency,anomaly_pause
2020-09-28 13:42:29.160130054,0,,,,,,,,,,,,,,,,1
2020-09-28 13:42:29.160130054,,,,0,,,,,,,,,,,,,1
2020-09-28 13:42:29.160130054,,,,,,0,,,,,,,,,,,1
2020-09-28 13:42:29.160130054,,,0,,,,,,,,,,,,,,1
2020-09-28 13:42:29.160130054,,,,,0,,,,,,,,,,,,1
2020-09-28 13:42:30.160130055,,,,,,,,,,,,,NaN,,,,1
2020-09-28 13:42:30.160130055,,,,,,,0,,,,,,,,,,1
2020-09-28 13:42:30.160130055,,,,,,,,,,0.001060233777777913,,,,,,,1
2020-09-28 13:42:30.160130055,,,,,,,,,,,NaN,,,,,,1
2020-09-28 13:42:30.160130055,,,,,,,,,,,,,,,0.0025237132222220757,,1
2020-09-28 13:42:30.160130055,,,,,,,,,,,,,,0.0010062451111111494,,,1
2020-09-28 13:42:30.160130055,,,,,,,,,0,,,,,,,,1
2020-09-28 13:42:30.160130055,,,,0,,,,,,,,,,,,,1
2020-09-28 13:42:30.160130055,0,,,,,,,,,,,,,,,,1
2020-09-28 13:42:30.160130055,,,,,,,,0,,,,,,,,,1
2020-09-28 13:42:30.160130055,,,,,,0,,,,,,,,,,,1
2020-09-28 13:42:30.160130055,,,,,0,,,,,,,,,,,,1
2020-09-28 13:42:30.160130055,,,0,,,,,,,,,,,,,,1
2020-09-28 13:42:30.160130055,,,,,,,,,,,,,,,,NaN,1
2020-09-28 13:42:30.160130055,,,,,,,,,,,,NaN,,,,,1
2020-09-28 13:42:31.160130055,,,,,,,,,,0.0011222661111113376,,,,,,,1
2020-09-28 13:42:31.160130055,,,,,,,,,,,,,NaN,,,,1
2020-09-28 13:42:31.160130055,,,0,,,,,,,,,,,,,,1
2020-09-28 13:42:31.160130055,,,,,,,,,,,NaN,,,,,,1
2020-09-28 13:42:31.160130055,,,,,,0,,,,,,,,,,,1
2020-09-28 13:42:31.160130055,,,,,0,,,,,,,,,,,,1
2020-09-28 13:42:31.160130055,0,,,,,,,,,,,,,,,,1
2020-09-28 13:42:31.160130055,,,,,,,,,,,,,,0.0010026399999997831,,,1
2020-09-28 13:42:31.160130055,,,,,,,,,0,,,,,,,,1
2020-09-28 13:42:31.160130055,,,,,,,,,,,,,,,,NaN,1
2020-09-28 13:42:31.160130055,,,,,,,0,,,,,,,,,,1
2020-09-28 13:42:31.160130055,,,,,,,,0,,,,,,,,,1
2020-09-28 13:42:31.160130055,,,,,,,,,,,,NaN,,,,,1
2020-09-28 13:42:31.160130055,,,,,,,,,,,,,,,0.0027521514444441347,,1
2020-09-28 13:42:31.160130055,,,,0,,,,,,,,,,,,,1
2020-09-28 13:42:32.160130055,,,,,,,,,,,,,,0.000992306777777606,,,1
2020-09-28 13:42:32.160130055,,,,,,,,,,,NaN,,,,,,1
2020-09-28 13:42:32.160130055,,,,,0,,,,,,,,,,,,1
2020-09-28 13:42:32.160130055,,,0,,,,,,,,,,,,,,1
