name,timestamp,value,labels
cadvisor_version_info,1600250193.928,1,"['65fa5b44', 'v0.37.0', '19.03.12', 'cadvisor:8080', 'cadvisor', '4.15.0-112-generic', 'Alpine Linux v3.12']"
classes,1600250194.609,8538,"['carts:80', 'cart']"
classes,1600250194.564,8622,"['orders:80', 'orders']"
classes,1600250194.756,7831,"['shipping:80', 'shipping']"
classes_loaded,1600250194.609,8538,"['carts:80', 'cart']"
classes_loaded,1600250194.564,8679,"['orders:80', 'orders']"
classes_loaded,1600250194.756,7831,"['shipping:80', 'shipping']"
classes_unloaded,1600250194.609,0,"['carts:80', 'cart']"
classes_unloaded,1600250194.564,57,"['orders:80', 'orders']"
classes_unloaded,1600250194.756,0,"['shipping:80', 'shipping']"
container_cpu_load_average_10s,1600250193.98,0,"['970f077016890303e391cdab6ef18d09b176b0c5574699adae02a24cfce87437', '1', 'False', 'microservices', 'microservices/docker-compose.yml,microservices/docker-compose.logging.yml', '/home/petar/microservices-test/microservices', 'rabbitmq', '1.27.0', '/docker/6164427ff757a17e8bbe6f9083f866ef4eedc6501dabb97f997623af39c4b2cd', 'microservices_rabbitmq', 'cadvisor:8080', 'cadvisor', 'microservices_rabbitmq_1']"
container_cpu_load_average_10s,1600250193.928,0,"['e5375e0b87226668c25817dd8b887b69f059dd90e9d30962deb8e0990fe87e24', '1', 'False', 'microservices', 'microservices/docker-compose.yml,microservices/docker-compose.logging.yml', '/home/petar/microservices-test/microservices', 'kibana', '1.27.0', '/docker/5f693cfb9b09d64fe726ac8446b86b6a7acb8cb81798eaaac45367c13b57e329', 'kibana:5', 'cadvisor:8080', 'cadvisor', 'microservices_kibana_1']"
container_cpu_load_average_10s,1600250193.913,0,"['', '', '', '', '', '', '', '', '/', '', 'cadvisor:8080', 'cadvisor', '']"
container_cpu_load_average_10s,1600250193.934,0,"['', '', '', '', '', '', '', '', '/system.slice/systemd-networkd.service', '', 'cadvisor:8080', 'cadvisor', '']"
